CountryCode,Year,adolescent_fertility_rate,birth_rate_per_1000_people,CO2_emissions_kt,CO2_emissions_metric_tons_per_capita,hospital_beds_per_1000_people,total_population,GDP,GDP_per_capita,land_area_sq_km,population_density_people_per_sq_km_of_land_area,GDP_growth_annual,GDP_per_capita_growth_annual,adult_literacy_rate,unemployment_rate,gini_index,income_share_held_by_highest_20_percent,income_share_held_by_lowest_20_percent,tax_revenue_percent_of_GDP,health_expenditure_per_capita
VCT,1960,205.4208,47.877,11.001,0.135902060582102,4.824999809265139,80948,22400000,276.720857834659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN,1960,147.4322,46.403,1360.457,0.12978371368493,1.00650095939636,7527450,392200,0.0374147602660207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUR,1960,142.5992,45.47,432.706,1.4922337329121398,6.5103449821472195,289972,187700,0.64730387761577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWZ,1960,131.3118,47.621,33.003,0.0945013787356865,1.94478523731232,349233,25054900,71.74264745885979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWE,1960,39.6544,13.7,49222.141,6.576406584350701,14.1999998092651,7484656,76785287168,10259.0268902138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE,1960,18.0118,17.7,19523.108,3.6643659788502903,NA,5327827,41642496000,7816.03757028898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYR,1960,117.138,48.172,3223.293,0.701817876199955,1.07673752307892,4592777,3070581800,668.56757904858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TJK,1960,63.5492,46.942,NA,NA,NA,2064035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TZA,1960,156.5452,49.296,828.742,0.0822614345738593,1.4904458522796598,10074490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
THA,1960,60.3506,42.737,3714.671,0.13558589866445403,0.7400348782539371,27397178,58477600800,2134.4388389198302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMP,1960,66.5528,46.023,NA,NA,NA,499525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TGO,1960,151.1482,47.479,66.006,0.0417623898063477,1.26509189605713,1580513,29700010000,18791.3734338155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TON,1960,59.1156,47.175,11.001,0.178587662337662,2.5,61600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TTO,1960,141.9462,37.333,2581.568,3.0425760859701003,5.58956098556519,848481,918299300,1082.28622679824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TUN,1960,65.6512,50.688,1727.157,0.409210934392178,2.4676616191864,4220701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TUR,1960,132.651,46.243,16820.529,0.6104728366277989,1.70000004768372,27553280,68100,0.00247157507200595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TKM,1960,42.8782,44.664,NA,NA,NA,1593501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCA,1960,NA,NA,NA,NA,NA,5724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TUV,1960,NA,NA,NA,NA,NA,6104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UGA,1960,179.456,49.557,421.705,0.0621231426070875,1.4807984828949,6788211,40355000,5.94486529661497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UKR,1960,29.514,21.011,NA,NA,NA,42662150,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,1960,176.9228,47.171,11.001,0.118785902474841,NA,92612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
